Symbol,Time,Open,High,Low,Close,Volume,Ticker
SRC,2023-12-22,26000,27100,26000,27000,13900,SRC
SRF,2023-12-22,7520,8000,7510,7800,34800,SRF
SRT,2023-12-22,5700,5800,5700,5700,2500,SRT
SSB,2023-12-22,22600,22650,22400,22600,1245500,SSB
SSC,2023-12-22,29000,29000,28800,28800,1300,SSC
SSG,2023-12-22,9300,10000,9300,9700,9700,SSG
SSH,2023-12-22,64500,64500,64000,64099,62500,SSH
SSI,2023-12-22,32350,32950,32200,32350,17457600,SSI
SSN,2023-12-22,1400,1600,1400,1500,1400,SSN
ST8,2023-12-22,18300,18350,18100,18100,176700,ST8
STB,2023-12-22,26600,27450,26300,27200,22251300,STB
STG,2023-12-22,46000,46000,46000,46000,200,STG
STH,2023-12-22,13800,14400,13500,14400,18300,STH
STK,2023-12-22,25500,25950,25300,25400,23000,STK
STT,2023-12-22,1800,1800,1800,1800,2100,STT
SVC,2023-12-22,28900,29950,28900,29950,2300,SVC
SVD,2023-12-22,2530,2570,2400,2420,85100,SVD
SVI,2023-12-22,56700,56700,56700,56700,100,SVI
SVN,2023-12-22,3800,4000,3800,3900,5600,SVN
SVT,2023-12-22,10850,10850,10850,10850,4300,SVT
SWC,2023-12-22,23200,23200,23000,23200,1900,SWC
SZB,2023-12-22,31300,31300,31300,31300,600,SZB
SZC,2023-12-22,43000,44350,43000,43700,2120400,SZC
SZL,2023-12-22,37000,37150,36500,36800,1100,SZL
TA9,2023-12-22,10300,10400,10300,10300,21900,TA9
TAR,2023-12-22,8900,9300,8900,8900,801100,TAR
TBH,2023-12-22,27900,27900,27900,27900,100,TBH
TBR,2023-12-22,7000,7000,7000,7000,2000,TBR
TC6,2023-12-22,8100,8200,8000,8100,57800,TC6
TCB,2023-12-22,30500,30800,30450,30600,1853900,TCB
TCD,2023-12-22,7050,7090,7010,7010,588500,TCD
TCH,2023-12-22,13250,13500,12950,13150,9073000,TCH
TCI,2023-12-22,12400,13200,12400,12900,900400,TCI
TCL,2023-12-22,37450,37450,36850,37000,11400,TCL
TCM,2023-12-22,40600,41050,40600,41000,463000,TCM
TCO,2023-12-22,9250,9250,8960,9000,12300,TCO
TCR,2023-12-22,3380,3380,3140,3360,400,TCR
TCT,2023-12-22,22400,22400,22300,22400,1000,TCT
TCW,2023-12-22,26800,26800,26800,26800,100,TCW
TDB,2023-12-22,39000,39000,39000,39000,100,TDB
TDC,2023-12-22,9760,9840,9680,9700,321600,TDC
TDG,2023-12-22,3710,3780,3700,3710,33300,TDG
TDH,2023-12-22,4700,4700,4620,4630,80600,TDH
TDM,2023-12-22,40900,41500,40900,41200,50400,TDM
TDN,2023-12-22,10100,10100,10000,10000,8000,TDN
TDP,2023-12-22,29900,29950,28700,28700,71300,TDP
TDT,2023-12-22,6700,6700,6600,6600,37600,TDT
TEG,2023-12-22,9800,9800,9700,9700,17900,TEG
TFC,2023-12-22,7900,8000,7900,8000,5100,TFC
TGP,2023-12-22,4600,4600,4600,4600,300,TGP
TH1,2023-12-22,2500,2500,2500,2500,300,TH1
THB,2023-12-22,11000,11000,11000,11000,300,THB
THD,2023-12-22,35000,35100,34900,35100,4400,THD
THG,2023-12-22,38750,39000,38600,39000,20300,THG
THM,2023-12-22,13300,13300,13300,13300,800,THM
THT,2023-12-22,12800,12800,12800,12800,5400,THT
TID,2023-12-22,23600,23600,23600,23600,100,TID
TIE,2023-12-22,5100,5100,5100,5100,100,TIE
TIG,2023-12-22,11900,12200,11800,11900,1713500,TIG
TIP,2023-12-22,23850,24450,23800,24300,240500,TIP
TIS,2023-12-22,4200,4300,4100,4200,15200,TIS
TKG,2023-12-22,6900,7100,6900,6900,251500,TKG
TKU,2023-12-22,10700,10700,10700,10700,700,TKU
TL4,2023-12-22,6800,6800,6800,6800,3300,TL4
TLD,2023-12-22,5330,5340,5290,5310,231600,TLD
TLG,2023-12-22,49400,49400,48700,49400,24300,TLG
